id,student_id,worksheet_id,question_id,question_num,mistake_id,mistake_description,mistake_value,difficulty_level,topic_code1,topic_code2,subtopic_code1,subtopic_code2,sub_subtopic_code1,sub_subtopic_code2
,,,,1,1,Conceptual,0,Basic,P0.2.0,P0.1.0,P0.2.6,,P5.4.6,P5.2.4
,,,,2,1,Conceptual,0,Basic,P0.10.0,P0.1.0,P0.10.1,,P5.7.6,P5.2.4
,,,,3,1,Conceptual,0,Basic,P0.7.0,,P0.7.4,,P5.10.4,
,,,,4,1,Conceptual,0,Basic,P0.5.0,,P0.5.7,,P5.12.2,
,,,,5,1,Conceptual,0,Basic,P0.1.0,,P0.1.7,,P4.3.3,
,,,,6,1,Conceptual,0,Intermediate,P0.2.0,P0.1.0,P0.2.5,,P4.5.1,P5.2.4
,,,,7,1,Conceptual,0,Intermediate,P0.1.0,,P0.1.7,,P4.3.3,
,,,,8,1,Conceptual,0,Basic,P0.3.0,,P0.3.1,,P3.6.2,
,,,,9,1,Conceptual,0,Intermediate,P0.9.0,,P0.9.1,,P5.6.3,
,,,,10,1,Conceptual,1,Intermediate,P0.7.0,P0.1.0,P0.7.3,,P5.9.3,P5.2.4
,,,,11,1,Conceptual,0,Basic,P0.5.0,,P0.5.7,,P5.12.1,
,,,,12,1,Conceptual,0,Basic,P0.2.0,,P0.2.6,,P5.4.6,
,,,,13,1,Conceptual,0,Intermediate,P0.2.0,P0.1.0,P0.2.6,,P5.4.6,P5.2.4
,,,,14,1,Conceptual,0,Intermediate,P0.6.0,P0.1.0,P0.6.2,,P3.12.3,P5.2.4
,,,,15,1,Conceptual,1,Basic,P0.7.0,,P0.7.4,,P5.10.5,
,,,,16,1,Conceptual,0,Intermediate,P0.5.0,,P0.5.3,,P5.11.4,
,,,,17,1,Conceptual,0,Intermediate,P0.2.0,P0.1.0,P0.2.6,,P5.4.6,P5.2.4
,,,,1,2,Careless,0,Basic,P0.2.0,P0.1.0,P0.2.6,,P5.4.6,P5.2.4
,,,,2,2,Careless,0,Basic,P0.10.0,P0.1.0,P0.10.1,,P5.7.6,P5.2.4
,,,,3,2,Careless,0,Basic,P0.7.0,,P0.7.4,,P5.10.4,
,,,,4,2,Careless,0,Basic,P0.5.0,,P0.5.7,,P5.12.2,
,,,,5,2,Careless,0,Basic,P0.1.0,,P0.1.7,,P4.3.3,
,,,,6,2,Careless,0,Intermediate,P0.2.0,P0.1.0,P0.2.5,,P4.5.1,P5.2.4
,,,,7,2,Careless,1,Intermediate,P0.1.0,,P0.1.7,,P4.3.3,
,,,,8,2,Careless,0,Basic,P0.3.0,,P0.3.1,,P3.6.2,
,,,,9,2,Careless,0,Intermediate,P0.9.0,,P0.9.1,,P5.6.3,
,,,,10,2,Careless,0,Intermediate,P0.7.0,P0.1.0,P0.7.3,,P5.9.3,P5.2.4
,,,,11,2,Careless,0,Basic,P0.5.0,,P0.5.7,,P5.12.1,
,,,,12,2,Careless,0,Basic,P0.2.0,,P0.2.6,,P5.4.6,
,,,,13,2,Careless,0,Intermediate,P0.2.0,P0.1.0,P0.2.6,,P5.4.6,P5.2.4
,,,,14,2,Careless,0,Intermediate,P0.6.0,P0.1.0,P0.6.2,,P3.12.3,P5.2.4
,,,,15,2,Careless,0,Basic,P0.7.0,,P0.7.4,,P5.10.5,
,,,,16,2,Careless,0,Intermediate,P0.5.0,,P0.5.3,,P5.11.4,
,,,,17,2,Careless,0,Intermediate,P0.2.0,P0.1.0,P0.2.6,,P5.4.6,P5.2.4
,,,,1,3,Presentation,0,Basic,P0.2.0,P0.1.0,P0.2.6,,P5.4.6,P5.2.4
,,,,2,3,Presentation,0,Basic,P0.10.0,P0.1.0,P0.10.1,,P5.7.6,P5.2.4
,,,,3,3,Presentation,0,Basic,P0.7.0,,P0.7.4,,P5.10.4,
,,,,4,3,Presentation,0,Basic,P0.5.0,,P0.5.7,,P5.12.2,
,,,,5,3,Presentation,0,Basic,P0.1.0,,P0.1.7,,P4.3.3,
,,,,6,3,Presentation,0,Intermediate,P0.2.0,P0.1.0,P0.2.5,,P4.5.1,P5.2.4
,,,,7,3,Presentation,0,Intermediate,P0.1.0,,P0.1.7,,P4.3.3,
,,,,8,3,Presentation,0,Basic,P0.3.0,,P0.3.1,,P3.6.2,
,,,,9,3,Presentation,0,Intermediate,P0.9.0,,P0.9.1,,P5.6.3,
,,,,10,3,Presentation,0,Intermediate,P0.7.0,P0.1.0,P0.7.3,,P5.9.3,P5.2.4
,,,,11,3,Presentation,1,Basic,P0.5.0,,P0.5.7,,P5.12.1,
,,,,12,3,Presentation,0,Basic,P0.2.0,,P0.2.6,,P5.4.6,
,,,,13,3,Presentation,0,Intermediate,P0.2.0,P0.1.0,P0.2.6,,P5.4.6,P5.2.4
,,,,14,3,Presentation,0,Intermediate,P0.6.0,P0.1.0,P0.6.2,,P3.12.3,P5.2.4
,,,,15,3,Presentation,0,Basic,P0.7.0,,P0.7.4,,P5.10.5,
,,,,16,3,Presentation,0,Intermediate,P0.5.0,,P0.5.3,,P5.11.4,
,,,,17,3,Presentation,0,Intermediate,P0.2.0,P0.1.0,P0.2.6,,P5.4.6,P5.2.4
